"record_id","street_num","street_dir","street_name","street_type","record_type","task","status","record_status_date","parcel_id","geom"
"ANN2004-04361","10","E","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","22/4/2021 00:00:00","09008289-90","0101000020E61000006AA099998FC654C0F56FC8F22E394540"
"ANN2004-04365","10125","E","WARREN","","Commercial Inspection","Issue CofC","Issued","12/8/2019 00:00:00","19005086-9","0101000020E6100000D50E8884C7BF54C04AF26DCF09314540"
"ANN2004-04371","4817","W","VERNOR","","Commercial Inspection","Issue CofC","Issued","10/9/2020 00:00:00","16000653-61","0101000020E6100000C4033E1165C654C08D57870EBF284540"
"ANN2004-04379","31","W","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","11/2/2019 00:00:00","09008292-4","0101000020E6100000E76205D89FC654C03461E8152E394540"
"ANN2004-04381","401","W","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","23/11/2020 00:00:00","09008333-7","0101000020E6100000D3815D96E1C654C070521DEE28394540"
"ANN2004-04383","401","","EIGHT MILE","","Commercial Inspection","Issue CofC","Issued","23/7/2020 00:00:00","09008333-7","0101000020E6100000D3815D96E1C654C070521DEE28394540"
"ANN2004-04386","12700","","JOY ROAD","","Commercial Inspection","Issue CofC","Issued","27/6/2019 00:00:00","22003268-70","0101000020E61000003D52CF9FBFCA54C01DDDA2F9F02D4540"
"ANN2004-04387","8801","","DAVID","","Commercial Inspection","Issue CofC","Issued","8/10/2019 00:00:00","19001114.","0101000020E61000009A3F004917C054C07DF0AD16F22F4540"
"ANN2004-04395","20725","","JOY ROAD","","Commercial Inspection","Issue CofC","Issued","18/8/2021 00:00:00","22002566-76","0101000020E6100000C7D403979CCF54C03E6D751AB42D4540"
"ANN2004-04414","9605","E","FOREST","","Commercial Inspection","Issue CofC","Issued","29/10/2019 00:00:00","19001255.","0101000020E6100000C05379A5D3BF54C0FFF96EB494304540"
"ANN2004-04417","8151","","GRATIOT","","Commercial Inspection","Issue CofC","Issued","29/4/2019 00:00:00","17000702.","0101000020E610000087629A82E2C054C07D43A82FBE304540"
"ANN2004-04421","940","W","MCNICHOLS","","Commercial Inspection","Issue CofC","Issued","2/5/2019 00:00:00","02002493-5","0101000020E61000007CC3177664C754C01942A5F87A354540"
"ANN2004-04426","17750","","BRUSH","","Commercial Inspection","Issue CofC","Issued","29/3/2021 00:00:00","01008814.","0101000020E6100000921F0A423CC654C07C3736762E364540"
"ANN2004-04452","123","E","GOLDEN GATE","","Commercial Inspection","Issue CofC","Issued","7/10/2019 00:00:00","01006464.002L","0101000020E6100000D0BDC1B95CC654C050147CA0F5364540"
"ANN2004-04468","19390","","WOODWARD","","Commercial Inspection","Issue CofC","Issued","26/11/2019 00:00:00","01009824-8","0101000020E61000001915172A72C754C0E7929430AB374540"
"ANN2004-04474","19807","","WOODWARD","","Commercial Inspection","Issue CofC","Issued","31/5/2019 00:00:00","02002644.","0101000020E61000008B4E9456B4C754C09AEF524029384540"
"ANN2004-04480","17171",,"LIVERNOIS",,"Commercial Inspection","Issue CofC","Issued","20/6/2022 00:00:00","16017737-42","0101000020E61000009443A9010BC954C05B803A8689354540"
"ANN2004-04507","8631","W","JEFFERSON","","Commercial Inspection","Issue CofC","Issued","29/6/2021 00:00:00","20000066-9","0101000020E6100000D17E5ACFB0C754C00FAD9E60F6244540"
"ANN2004-04517","5507",,"CANIFF",,"Commercial Inspection","Issue CofC","Issued","19/1/2022 00:00:00","13005427.","0101000020E61000003FC6B54703C354C00702B713CD334540"
"ANN2004-04519","6000","","CANIFF","","Commercial Inspection","Issue CofC","Issued","10/11/2020 00:00:00","13005386.001","0101000020E6100000AEB4FF839FC254C05E48D835DA334540"
"ANN2004-04523","6705","W","LAFAYETTE","","Commercial Inspection","Issue CofC","Issued","27/1/2020 00:00:00","18008245.","0101000020E61000001BE83BFE0CC754C060B0CAAF33274540"
"ANN2004-04524","2315","","CARPENTER","","Commercial Inspection","Issue CofC","Issued","12/11/2021 00:00:00","09005176-7","0101000020E61000003A907FFF6BC454C0D30BB9B2D0334540"
"ANN2004-04528","2449","","CARPENTER","","Commercial Inspection","Issue CofC","Issued","12/9/2019 00:00:00","09005187.","0101000020E61000001CB559ED59C454C062651D96DC334540"
"ANN2004-04538","5940","","CASMERE","","Commercial Inspection","Issue CofC","Issued","7/5/2019 00:00:00","13005739-46","0101000020E6100000F3B66A63ADC254C0BD40CEC343344540"
"ANN2004-04551","5619","","CHARLES","","Commercial Inspection","Issue CofC","Issued","8/3/2021 00:00:00","13006903-7","0101000020E61000000F4A2FFCF2C254C0D100BC99BD344540"
"ANN2004-04554","11640","","CONANT","","Commercial Inspection","Issue CofC","Issued","9/8/2021 00:00:00","13024902.","0101000020E6100000FA37A09177C354C01B3A25F8E1334540"
"ANN2004-04564","12310","","Conant","","Commercial Inspection","Issue CofC","Issued","8/2/2021 00:00:00","13024934.","0101000020E6100000B5D8B60FA8C354C0B69B51DB6D344540"
"ANN2004-04566","12301","","CONANT","","Commercial Inspection","Issue CofC","Issued","29/3/2021 00:00:00","09008868-84","0101000020E6100000BEFDA688B2C354C0472CB8056B344540"
"ANN2004-04578","12461",,"CONANT",,"Commercial Inspection","Issue CofC","Issued","8/3/2022 00:00:00","09008862-4","0101000020E6100000366BA069BFC354C0DF33199692344540"
